track,category,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,substrate_condition,temperature,pmid,doi,url,figure_table,usable_for_human_wholecell,notes
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Fasting (overnight), healthy",NOT_REPORTED,Glucose turnover (Ra ≈ EGP),1.88,mg·min^-1·kg^-1,mean,±0.1 (SEM),4,human,human,whole-body in vivo,[U-13C]glucose constant infusion,post-absorptive; glucose-infusion arm 4.0±0.08,NOT_REPORTED,2848653,10.1042/cs0750363,https://pubmed.ncbi.nlm.nih.gov/2848653/,Results/Abstract,human (directly usable),Gut-derived acetate had no effect on glucose turnover.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Overnight fast (17 h), lean nondiabetic",17,Fractional GNG contribution to glucose production (%GNG_PEP),NOT_REPORTED,% of glucose production,mean,NOT_REPORTED,19 lean (10M/9F),human,human,whole-body in vivo,2H2O + 2H NMR of plasma glucose; 3H-glucose kinetics,"post-absorptive, 17-h fast",NOT_REPORTED,16505230,10.2337/diabetes.55.03.06.db05-1117,https://pubmed.ncbi.nlm.nih.gov/16505230/,Results/Abstract,human (directly usable) — fractional,EGP not different lean vs obese; %GNG_PEP & GNG_PEP flux higher in obese (n=16). Absolute flux values in tables=NOT_REPORTED in abstract.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"16-h fast, healthy",16,GNG fractional contribution to glucose production,54,% of glucose production,mean,±4,5,human,human,whole-body in vivo,2H2O ingestion (~0.5% body water) + 2H NMR,"post-absorptive, 16-h fast; glucose 87±7 mg/dl",NOT_REPORTED,12633904,10.1016/s0925-4439(03)00018-8,https://pubmed.ncbi.nlm.nih.gov/12633904/,Results/Abstract,human (directly usable) — fractional,Glycogenolysis 46±4%.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Cirrhosis, 16-h fast",16,GNG fractional contribution to glucose production,78,% of glucose production,mean,±7,6,human,human,whole-body in vivo (cirrhotic),2H2O ingestion + 2H NMR,"post-absorptive, 16-h fast; glucose 87±24 mg/dl",NOT_REPORTED,12633904,10.1016/s0925-4439(03)00018-8,https://pubmed.ncbi.nlm.nih.gov/12633904/,Results/Abstract,human (directly usable) — fractional; diseased liver,Glycogenolysis 22±7%; glycerol contribution higher (19±6% vs 7±6%).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Overnight fast, healthy adults (bolus)",NOT_REPORTED,Total ketone body production rate,206,µmol·min^-1·(1.73 m^2)^-1,mean,±57 (SD),NOT_REPORTED,human,human,whole-body in vivo,"Simultaneous [1,2-13C2]AcAc + [13C4]R-BHB, compartmental",post-absorptive/fasting,NOT_REPORTED,2336923,10.1007/BF02624721,https://pubmed.ncbi.nlm.nih.gov/2336923/,Results/Abstract,human (directly usable),"Continuous-infusion noncompartmental turnover 294±41. AcAc clearance 1966±502, BHB 1443 ml·min^-1·1.73m^-2."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Fasting ketosis, healthy (max disposal at 10-12 mM)",15 h to 23 d,Max ketone body metabolic disposal rate,2.3,mmol·min^-1·(1.73 m^2)^-1,mean,NOT_REPORTED,26 controls,human,human,whole-body in vivo,Primed constant infusion 14C-AcAc or 14C-BHB,"fasting, ketone range 1-12 mM",NOT_REPORTED,3918903,10.2337/diab.34.4.326,https://pubmed.ncbi.nlm.nih.gov/3918903/,Results/Abstract,human (directly usable),"Disposal, not production; hyperketonemia driven mainly by increased production. Same max in diabetic ketosis."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,Diabetic ketosis (insulin-deprived T1D),NOT_REPORTED,Ketone body turnover / production,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,whole-body in vivo (insulin-deprived T1D),Primed constant infusion 14C-AcAc/14C-BHB,"diabetic ketosis, ketone 1-12 mM",NOT_REPORTED,3918903,10.2337/diab.34.4.326,https://pubmed.ncbi.nlm.nih.gov/3918903/,Results/Abstract,human (directly usable); per-value numbers NOT_REPORTED in abstract,Kinetics comparable to fasting controls in same concentration range; n=13.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Normal, postabsorptive",NOT_REPORTED,Ketone body de novo synthesis (R30),282,µmol·min^-1·m^-2,mean,±93 (SD),5,human,human,whole-body in vivo (normal),"[3-14C]AcAc + [3-14C]BHB, compartmental",postabsorptive,NOT_REPORTED,3922234,10.1152/ajpregu.1985.248.5.R611,https://pubmed.ncbi.nlm.nih.gov/3922234/,Results/Abstract,human (directly usable),Obese 159±54; MKD 596±534; HKD 1278±445.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Obese, postabsorptive",NOT_REPORTED,Ketone body de novo synthesis (R30),159,µmol·min^-1·m^-2,mean,±54 (SD),5,human,human,whole-body in vivo (obese),"[3-14C]AcAc + [3-14C]BHB, compartmental",postabsorptive,NOT_REPORTED,3922234,10.1152/ajpregu.1985.248.5.R611,https://pubmed.ncbi.nlm.nih.gov/3922234/,Results/Abstract,human (directly usable),Lower than normal (P<0.05).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Insulin-withdrawn diabetic, highly ketotic (HKD)",NOT_REPORTED,Ketone body de novo synthesis (R30),1278,µmol·min^-1·m^-2,mean,±445 (SD),subset of 8 diabetic,human,human,whole-body in vivo (insulin-withdrawn diabetic),"[3-14C]AcAc + [3-14C]BHB, 5-compartment","insulin-withdrawn, highly ketotic",NOT_REPORTED,3922234,10.1152/ajpregu.1985.248.5.R611,https://pubmed.ncbi.nlm.nih.gov/3922234/,Results/Abstract,human (directly usable),MKD 596±534; BHB clearance markedly reduced in HKD.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Fasting (13-22 h), children 3-5 yr",13-22,Ketone body turnover rate,30-50,µmol·kg^-1·min^-1,range,NOT_REPORTED,6,human,human,whole-body in vivo (children),"Combined [3-13C]AcAc + [2H3]BHB, GC-MS",fasting 20-22 h,NOT_REPORTED,3688221,10.1152/ajpendo.1987.253.5.E496,https://pubmed.ncbi.nlm.nih.gov/3688221/,Results/Abstract,human (pediatric — indirect proxy),Rate after 20-22 h fast in children equals adult multi-day fast.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Neonates, fasted <8 h",<8,Ketone body inflow-outflow transport (flux),17.3,µmol·kg^-1·min^-1,mean,±1.4 (SEM),6 newborns,human,human,whole-body in vivo (neonate),Continuous infusion D-3-hydroxy[2H3]butyrate tracer,fasted <8 h,NOT_REPORTED,3944260,10.1172/JCI112299,https://pubmed.ncbi.nlm.nih.gov/3944260/,Results/Abstract,human (neonatal — indirect proxy),"Older infants 20.6±0.9; diabetic infant 32.2; hyperinsulinemic 5.0. Range newborn 12.8-21.9, older 17.9-26.0."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"T1D insulin-deprived, rest→exercise",NOT_REPORTED,Total ketone body production rate (Ra) response,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,whole-body in vivo (T1D),Constant infusion 14C-BHB,"insulin-deprived, 1-6 mM ketonemia, 2-h exercise",NOT_REPORTED,3111922,10.1007/BF00299021,https://pubmed.ncbi.nlm.nih.gov/3111922/,Results/Abstract,human (directly usable); absolute Ra NOT_REPORTED in abstract,Biphasic; low ketonemia exercise increases production; reversed >4 mM. n=7 vs 13 fasted normals.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Fasted (16 h-5 d), rest→2-h exercise",16 h to 5 d,Ketone body turnover (Ra) response,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,whole-body in vivo (normal),Tracer KB turnover,basal 0.09-6.16 mM; 50% VO2max,NOT_REPORTED,3518484,10.1152/ajpendo.1986.250.5.E495,https://pubmed.ncbi.nlm.nih.gov/3518484/,Results/Abstract,human (directly usable); absolute Ra NOT_REPORTED in abstract,Below 0.6 mM exercise enhances Ra; MCR up 40-50%; suppressed >2.5 mM.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"T2D, chronic (4 wk) SGLT2i (empagliflozin)",NOT_REPORTED,Fasting β-hydroxybutyrate (surrogate of ketogenesis),561,"µmol/L (concentration, not flux)",mean,±596 (SD),66 T2D,human,human,whole-body in vivo (T2D),Double glucose tracer; ketogenesis from circulating BHB,"fasting, chronic SGLT2i",NOT_REPORTED,26861783,10.2337/db15-1356,https://pubmed.ncbi.nlm.nih.gov/26861783/,Results/Abstract,human (indirect — concentration surrogate),Baseline BHB 246±288 → 561±596 µmol/L (P<0.01). EGP raised. Absolute ketogenic flux NOT_REPORTED.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"24-h fasted, glucagon-stimulated, single-pass perfusion",NOT_REPORTED,Hepatic lactate uptake (plateau) — drives GNG,2.34,µmol·min^-1·g liver^-1,mean (apparent plateau),NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused liver,"[U-14C]lactate, single-pass, variable flow",2.5 mM lactate + glucagon 250 µg/ml; flow 0.52-4.03 ml·min^-1·g liver^-1,NOT_REPORTED,16091385,10.1152/ajpendo.00318.2004,https://pubmed.ncbi.nlm.nih.gov/16091385/,Results/Abstract,rat (non-human proxy),"Lactate uptake hyperbolic vs flow, plateau 2.34; above 1.0 ml·min^-1·g steady GNG."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"24-h fasted, reduced blood flow",NOT_REPORTED,Hepatic gluconeogenesis from lactate (limited by delivery),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused liver,"Lactate uptake, varying Hct & [lactate]",2.31-4.24 mM lactate; flow 0.58-0.89 ml·min^-1·g liver^-1,NOT_REPORTED,16144814,10.1152/ajpendo.00319.2004,https://pubmed.ncbi.nlm.nih.gov/16144814/,Results/Abstract,rat (non-human proxy); absolute GNG value NOT_REPORTED in abstract,"Lactate delivery (not O2) limits GNG at low flow; raising [lactate] increased GNG, raising Hct/O2 did not."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Perfused liver, lactate/pyruvate substrate, fed",NOT_REPORTED,Gluconeogenesis fractional contributions to glucose output,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,isolated perfused liver (fed mice),13C + [2H]water NMR isotopomer analysis,lactate/pyruvate 10:1 vs 1:10 w/w,NOT_REPORTED,16288601,10.1042/BJ20051174,https://pubmed.ncbi.nlm.nih.gov/16288601/,Results/Abstract (PMC),mouse (non-human proxy); absolute glucose output NOT_REPORTED in abstract,Glucose production from glycogen+PEP+glycerol; overall glucose output unchanged by L/P inversion; TCA flux 2-fold up. No/low GNG without lactate/pyruvate.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Perfused rat liver, alanine substrate, +/- leptin/insulin",NOT_REPORTED,Hepatic glucose production from L-alanine (rate),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused liver,Perfusion with L-alanine; glucose/lactate/urea output,L-alanine ± leptin 10 ng/ml ± insulin 20 µU/ml,NOT_REPORTED,15543644,10.1002/cbf.1163,https://pubmed.ncbi.nlm.nih.gov/15543644/,Results/Abstract,rat (non-human proxy); absolute rate NOT_REPORTED in abstract,Leptin or insulin alone decreased glucose/lactate/urea production from alanine (P<0.05); leptin did NOT inhibit GNG from pyruvate/glycerol (insulin did).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Meal-fed rats, isolated hepatocytes, varied substrates",NOT_REPORTED,Ketone body production rate,0.10 - 0.96,µmol·min^-1·g wet wt cells^-1,range (± per condition),0.10±0.01 to 0.96±0.06,NOT_REPORTED,rat,rat,isolated hepatocytes (meal-fed),Ketone body assay; malonyl-CoA quantified,"±glucose, lactate+pyruvate, glucagon, oleic acid, TOFA",37°C (implied),632284,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/632284/,Results/Abstract,rat (non-human proxy),Ketogenesis varied inversely with malonyl-CoA (Ki 2 nmol/g); malonyl-CoA 1.4-14.8 nmol/g wet wt.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Perfused rat liver, 13C-octanoate",NOT_REPORTED,C4 ketogenesis (BHB+AcAc) rate from octanoate,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused liver,Mass isotopomer analysis of C4/C5 ketone bodies (13C octanoate/heptanoate),"13C-labeled octanoate, heptanoate, or propionate",NOT_REPORTED,19666922,10.1074/jbc.M109.048744,https://pubmed.ncbi.nlm.nih.gov/19666922/,Results/Abstract (PMC),rat (non-human proxy); absolute µmol·min^-1 rate NOT_REPORTED in abstract,C4 & C5 ketogenesis share acetyl-CoA pool; C5 ketogenesis from heptanoate much lower than C4 from octanoate; C5 from propionate ~nil.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,Cultured rabbit fetal/newborn hepatocytes ± glucagon/cAMP,NOT_REPORTED,Ketogenesis from oleate (induction),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,rabbit,primary cultured hepatocytes (fetal/newborn),"[1-14C]oleate (0.5 mM), 4-day culture","±glucagon 1e-6 M, forskolin, dbcAMP, 8-Br-cAMP, insulin",NOT_REPORTED,2557835,10.1042/bj2640093,https://pubmed.ncbi.nlm.nih.gov/2557835/,Results/Abstract,rabbit (non-human proxy); absolute ketogenesis rate NOT_REPORTED in abstract,"Oleate oxidation basal 12.7±1.6% → glucagon 50.0±5.5, forskolin 70.6±5.4, cAMP 77.5±3.4% of oleate metabolized. Fetal hepatocyte ketogenesis low until 48-h glucagon/cAMP."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Isolated hepatocytes, newborn rats, oleate",0-16 (postnatal),Ketone body production from oleate (developmental),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated hepatocytes (newborn),Oleate/octanoate oxidation & ketone assay,oleate; developmental 0-16 h after birth,NOT_REPORTED,6626164,10.1042/bj2140937,https://pubmed.ncbi.nlm.nih.gov/6626164/,Results/Abstract,rat (non-human proxy); absolute rate NOT_REPORTED in abstract,Ketone production from oleate increases 6-fold between 0 and 16 h after birth (enhanced β-oxidation).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Isolated hepatocytes, starved rats, +glycerol",NOT_REPORTED,Ketone body production (antiketogenic effect of glycerol),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated hepatocytes (starved),14C-fatty acid; ketone body assay,endogenous/acetate/octanoate/oleate ± 5 mM glycerol,NOT_REPORTED,7221165,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/7221165/,Results/Abstract,rat (non-human proxy); absolute rate NOT_REPORTED in abstract,5 mM glycerol inhibited ketone body production from all substrates; increased fatty-acid incorporation into lipids.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Isolated hepatocytes, starved rats, +pyruvate",NOT_REPORTED,Ketone body production (antiketogenic effect of pyruvate),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated hepatocytes (starved),14C-fatty acid; ketone body assay,endogenous/acetate/octanoate/oleate ± 5 mM pyruvate,NOT_REPORTED,7244329,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/7244329/,Results/Abstract,rat (non-human proxy); absolute rate NOT_REPORTED in abstract,5 mM pyruvate inhibited ketone production (increased TCA flux / FA oxidation to CO2).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Perfused liver, obese vs lean Zucker rat",NOT_REPORTED,Ketone body production (per liver),822 (lean) / 538 (obese),µmol·(whole liver)^-1,mean,P<0.05,NOT_REPORTED,rat,rat,isolated perfused liver (Zucker),Perfusion; ketone body & lipogenesis measurement,endogenous,NOT_REPORTED,2272602,10.1055/s-2007-1004973,https://pubmed.ncbi.nlm.nih.gov/2272602/,Results/Abstract,rat (non-human proxy),Ketone body production lean 822 vs obese 538 µmol/liver; ketone incorporation into fatty acids greater in obese.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Isolated bovine hepatocytes, lactate/propionate",NOT_REPORTED,Glucose synthesis (gluconeogenesis) method,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,other (bovine),isolated hepatocytes (calf liver),14C-lactate/propionate + ion-exchange separation,14C-lactate or 14C-propionate ± glucagon,NOT_REPORTED,15539291,10.1016/s0955-2863(98)00096-5,https://pubmed.ncbi.nlm.nih.gov/15539291/,Results/Abstract,bovine (non-human proxy); absolute rate NOT_REPORTED in abstract,Methods paper; sensitive to substrate concentration and glucagon. No absolute rate in abstract.
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,7.9,umol/L,mean,SD 2.1,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,taurocholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,11.1,umol/L,mean,SD 3.3,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,glycocholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,4.8,umol/L,mean,SD 1.7,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,taurochenodeoxycholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,11.9,umol/L,mean,SD 1.8,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,tauroursodeoxycholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,human BSEP membrane vesicle ATP-dependent uptake,NOT_REPORTED,Km,124,umol/L,mean,NOT_REPORTED,NOT_REPORTED,other,human,recombinant hBSEP membrane vesicle,ATP-dependent vesicular transport,pravastatin (non-bile-acid substrate),NOT_REPORTED,15901796,10.1124/jpet.105.084830,https://pubmed.ncbi.nlm.nih.gov/15901796/,Abstract,"human, non-physiological substrate — indirect proxy",competitive with taurocholate; Vmax not reported
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP HEK293-adenovirus vesicle, ATP-dependent uptake",NOT_REPORTED,Km,9.5,umol/L,mean,SD 1.5,NOT_REPORTED,other,human,HEK293 membrane vesicle (recombinant hBSEP),ATP-dependent vesicular transport,taurolithocholate-3-sulfate (TLC-S),NOT_REPORTED,16332456,10.1016/j.bbalip.2005.10.006,https://pubmed.ncbi.nlm.nih.gov/16332456/,Abstract,human recombinant single-transporter Km — usable,hMRP2 Km for TLC-S 8.2±1.3 uM cited same paper
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444V (reference) membrane vesicle, GCA transport",NOT_REPORTED,Vmax,1132,pmol/min/mg protein,mean,SD 246,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444V,ATP-dependent vesicular transport (1-100 uM GCA),glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter — usable,Michaelis-Menten
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444V (reference) membrane vesicle, GCA transport",NOT_REPORTED,Km,32.7,umol/L,mean,SD 18.2,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444V,ATP-dependent vesicular transport,glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter — usable,reference allele
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444A (variant) membrane vesicle, GCA transport",NOT_REPORTED,Vmax,959,pmol/min/mg protein,mean,SD 256,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444A,ATP-dependent vesicular transport,glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter variant — usable,variant allele; not stat. different from ref
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444A (variant) membrane vesicle, GCA transport",NOT_REPORTED,Km,45.7,umol/L,mean,SD 25.5,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444A,ATP-dependent vesicular transport,glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter variant — usable,variant allele
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP Sf9 vesicle, fluorescent bile acid derivative uptake",NOT_REPORTED,Km,23.1,umol/L,mean,SD 1.6,NOT_REPORTED,other,human,Sf9 membrane vesicle (recombinant hBSEP),ATP-dependent vesicular transport (LC-ESI-MS detection),DBD-conjugated bile acid derivative,NOT_REPORTED,20460828,10.2133/dmpk.25.214,https://pubmed.ncbi.nlm.nih.gov/20460828/,Abstract,"human, synthetic probe substrate — indirect proxy",comparable to taurocholic acid
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP Sf9 vesicle, fluorescent bile acid derivative uptake",NOT_REPORTED,Vmax,623.2,pmol/min/mg protein,mean,SD 22.4,NOT_REPORTED,other,human,Sf9 membrane vesicle (recombinant hBSEP),ATP-dependent vesicular transport (LC-ESI-MS detection),DBD-conjugated bile acid derivative,NOT_REPORTED,20460828,10.2133/dmpk.25.214,https://pubmed.ncbi.nlm.nih.gov/20460828/,Abstract,"human, synthetic probe substrate — indirect proxy",max uptake rate
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"AKR/J mouse canalicular membrane vesicle, ATP-dependent TC uptake",NOT_REPORTED,Vmax,127,pmol TC/mg/s,mean,NOT_REPORTED,NOT_REPORTED,other,mouse,AKR/J mouse canalicular liver plasma membrane vesicle,ATP-dependent 3H-taurocholate uptake,taurocholate,NOT_REPORTED,14724752,10.1007/s00232-003-0620-4,https://pubmed.ncbi.nlm.nih.gov/14724752/,Abstract,non-human (mouse) — proxy,gallstone-resistant strain; Km unchanged vs C57L/J
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"C57L/J mouse canalicular membrane vesicle, ATP-dependent TC uptake",NOT_REPORTED,Vmax,42,pmol TC/mg/s,mean,NOT_REPORTED,NOT_REPORTED,other,mouse,C57L/J mouse canalicular liver plasma membrane vesicle,ATP-dependent 3H-taurocholate uptake,taurocholate,NOT_REPORTED,14724752,10.1007/s00232-003-0620-4,https://pubmed.ncbi.nlm.nih.gov/14724752/,Abstract,non-human (mouse) — proxy,gallstone-susceptible strain
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, E17G transport (sigmoidal)",NOT_REPORTED,"Km (apparent, S50)",170,umol/L,mean,SD 17,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,estradiol-17-glucuronide (E17G),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,"sigmoidal kinetics, Hill=2.05±0.1, multiple binding sites"
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, E17G transport (sigmoidal)",NOT_REPORTED,Vmax,1447,pmol/mg protein/min,mean,SD 137,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,estradiol-17-glucuronide (E17G),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,Hill coefficient 2.05
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, CP-I transport (hyperbolic)",NOT_REPORTED,Km (apparent),7.7,umol/L,mean,SD 0.7,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,coproporphyrin-I (CP-I),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,"Michaelis-Menten, single binding site"
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, CP-I transport (hyperbolic)",NOT_REPORTED,Vmax,48,pmol/mg protein/min,mean,SD 11,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,coproporphyrin-I (CP-I),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,NOT_REPORTED
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 vesicle (insect cell), estrogen glucuronide transport",NOT_REPORTED,Km (range across E-G/E-3G/E-16G),180-790,umol/L,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human,insect cell membrane vesicle (recombinant human MRP2),vesicular transport assay,"estrogen glucuronides (E-G, E-3G, E-16G)",NOT_REPORTED,29175180,10.1016/j.jsbmb.2017.11.007,https://pubmed.ncbi.nlm.nih.gov/29175180/,Abstract,human recombinant single-transporter — usable,high Km; per-substrate Vmax not in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"rat MRP3 membrane vesicle (LLC-PK1/HeLa), E217betaG uptake",NOT_REPORTED,Km,67,umol/L,mean,SD 14,NOT_REPORTED,other,rat,membrane vesicle recombinant rat MRP3 (ABCC3),ATP-dependent vesicular transport,17beta-estradiol-17-beta-D-glucuronide (E217betaG),NOT_REPORTED,10329726,10.1074/jbc.274.21.15181,https://pubmed.ncbi.nlm.nih.gov/10329726/,Abstract,"non-human, MRP3 not MRP2 — off-target proxy",INCLUDED as related conjugate-export ABC transporter; NOT MRP2
